20	0.02	2.15	0.02
64	0.02	2.82	0.02
100	0.05	5.85	0.02
150	0.11	6.75	0.02
180	0.18	7.38	0.02
200	0.30	7.83	0.02
220	0.43	8.30	0.03
240	0.63	8.78	0.03
260	0.83	12.69	0.03
280	1.22	13.07	0.04
300	1.76	13.46	0.05
290	1.46	13.26	0.04
310	2.12	13.67	0.05
320	2.41	13.87	0.06
340	3.25	14.29	0.07
370	5.05	14.95	0.10
75	0.03	5.51	0.02
130	0.07	6.36	0.02
500	0.07	18.03	0.02
560	0.19	19.56	0.02
600	0.31	26.91	0.02
640	0.64	27.73	0.03
660	0.90	28.15	0.03
680	1.33	28.57	0.04
700	1.95	29.00	0.05
720	2.73	29.44	0.06
760	5.54	30.33	0.10
460	0.04	17.05	0.02
520	0.12	18.54	0.02
620	0.45	27.32	0.03
650	0.70	27.94	0.03
800	10.04	31.24	0.17
420	0.03	16.09	0.02
480	0.06	17.54	0.02
